Track Name,Track ID,Artists,Artist Count,Track_Name
Into You,76FZM38RC8XaAjJ77CVTNe,ariana grande,1,into you
Glad You Came,5yDL13y5giogKs2fSNf7sj,the wanted,1,glad you came
Dark Horse,5jrdCoLpJSvHHorevXBATy,katy perry,2,dark horse
Dark Horse,5jrdCoLpJSvHHorevXBATy,juicy j,2,dark horse
Who Knew - Edit,2hns6Dv29Yrg68AVTJiAyA,p!nk,1,who knew  edit
Closer,7BKLCZ1jbUBVqRi2FVlTVw,the chainsmokers,2,closer
Closer,7BKLCZ1jbUBVqRi2FVlTVw,halsey,2,closer
greedy,3rUGC1vUpkDG9CZFHMur1t,tate mcrae,1,greedy
Viva La Vida,4zOfy9kqJlG0ZXvcaSh4gv,coldplay,1,viva la vida
My House,3jomjC6H7YQBRr2CHPtc4y,flo rida,1,my house
Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,justin bieber,3,peaches feat daniel caesar  giveon
Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,daniel caesar,3,peaches feat daniel caesar  giveon
Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,giveon,3,peaches feat daniel caesar  giveon
As It Was,4Dvkj6JhhA12EX05fT7y2e,harry styles,1,as it was
Wildest Dreams (Taylor's Version),1K39ty6o1sHwwlZwO6a7wK,taylor swift,1,wildest dreams taylors version
Born This Way,30XU4suKzCeoCK9YFzdufg,lady gaga,1,born this way
Love Song,4E6cwWJWZw2zWf7VFbH7wf,sara bareilles,1,love song
I Kissed A Girl,14iN3o8ptQ8cFVZTEmyQRV,katy perry,1,i kissed a girl
We Don't Talk Anymore (feat. Selena Gomez),54PbBpquVfhfrwRwvjSXbI,charlie puth,2,we dont talk anymore feat selena gomez
We Don't Talk Anymore (feat. Selena Gomez),54PbBpquVfhfrwRwvjSXbI,selena gomez,2,we dont talk anymore feat selena gomez
Flowers,7DSAEUvxU8FajXtRloy8M0,miley cyrus,1,flowers
"yes, and?",7gaA3wERFkFkgivjwbSvkG,ariana grande,1,yes and
Die Young,7EQGXaVSyEDsCWKmUcfpLk,kesha,1,die young
Espresso,1QUyotJH8XoTEan8aZdsiV,sabrina carpenter,1,espresso
Ride,2Z8WuEywRWYTKe1NybPQEW,twenty one pilots,1,ride
I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,post malone,2,i like you a happier song with doja cat
I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,doja cat,2,i like you a happier song with doja cat
This Is Why,7HdXRMw14roDx2a0COWk3M,paramore,1,this is why
Side To Side,44ONERBHALxftQNWq6dmyd,ariana grande,2,side to side
Side To Side,44ONERBHALxftQNWq6dmyd,nicki minaj,2,side to side
I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,david guetta,2,im good blue
I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,bebe rexha,2,im good blue
Houdini,6D8y7Bck8h11byRY88Pt2z,dua lipa,1,houdini
Sunroof,5YqEzk3C5c3UZ1D5fJUlXA,nicky youre,2,sunroof
Sunroof,5YqEzk3C5c3UZ1D5fJUlXA,dazy,2,sunroof
Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,sza,1,kill bill
Love You Like A Love Song,0laYHRpNTS6i8FXdupHkJ4,selena gomez & the scene,1,love you like a love song
Heart Attack,4v0hWD4N6qefyFrmSGLjTV,demi lovato,1,heart attack
Wake Me Up,0nrRP2bk19rLc0orkWPQk2,avicii,1,wake me up
(You Drive Me) Crazy,1DSJNBNhGZCigg9ll5VeZv,britney spears,1,you drive me crazy
Lose Control,17phhZDn6oGtzMe56NuWvj,teddy swims,1,lose control
Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,miley cyrus,1,party in the usa
Toxic,6I9VzXrHxO9rA9A5euc8Ak,britney spears,1,toxic
Fix You,7LVHVU3tWfcxj5aiPFEW4Q,coldplay,1,fix you
